iter	RMSE
0	81787.618
1	79449.40822
2	77237.62174
3	75240.97961
4	73338.702
5	71894.34092
6	70577.38649
7	69207.1388
8	68144.42129
9	67219.60037
10	66477.39499
11	65645.84795
12	64938.51426
13	64169.43012
14	63658.77625
15	63216.88377
16	62664.76468
17	62259.44088
18	61710.19663
19	60797.80058
20	60077.01231
21	59389.95249
22	58831.57119
23	58325.14333
24	58075.99912
25	57635.65398
26	57302.73345
27	57106.82192
28	56724.74258
29	56340.42606
30	56202.99686
31	55907.77036
32	55801.11763
33	55713.76834
34	55498.88324
35	55226.51118
36	54892.42995
37	54643.78047
38	54402.25315
39	54268.48226
40	54219.94762
41	54012.18454
42	53726.47944
43	53516.94623
44	53375.53836
45	53176.927
46	53072.64544
47	52843.39177
48	52739.54093
49	52661.9874
50	52550.98469
51	52444.19558
52	52410.34437
53	52178.56882
54	52084.14256
55	51850.08554
56	51678.16857
57	51536.40739
58	51496.39652
59	51364.7618
60	51233.39814
61	51048.51948
62	50971.26197
63	50737.12017
64	50729.17753
65	50537.69574
66	50505.3927
67	50408.14212
68	50251.78967
69	50121.20579
70	49904.77334
71	49736.71421
72	49672.58637
73	49554.09649
74	49475.03075
75	49471.9036
76	49266.30464
77	49188.6748
78	49099.61683
79	48978.09422
80	48931.15509
81	48891.64914
82	48767.18644
83	48634.44561
84	48583.18885
85	48474.60625
86	48449.04314
87	48279.43206
88	48277.79668
89	48272.21289
90	48205.11888
91	48203.74107
92	48149.18241
93	48123.95005
94	48040.06994
95	48028.90827
96	47968.01683
97	47776.96081
98	47729.64524
99	47710.66882
100	47583.52778
101	47497.49979
102	47391.61387
103	47357.97045
104	47353.12344
105	47266.98104
106	47124.3012
107	47119.89406
108	47107.8925
109	47034.86855
110	46984.63173
111	46899.61971
112	46816.68669
113	46708.66485
114	46701.60752
115	46626.57135
116	46561.72765
117	46424.32957
118	46388.03106
119	46375.1977
120	46333.34363
121	46212.62123
122	46147.17598
123	46019.17773
124	46010.6109
125	46008.24835
126	45953.55747
127	45902.78454
128	45852.71085
129	45752.17728
130	45749.85971
131	45707.17265
132	45582.87798
133	45575.77688
134	45538.3895
135	45536.20644
136	45531.22439
137	45510.99163
138	45492.00883
139	45481.37541
140	45478.11349
141	45381.26293
142	45299.29179
143	45236.09613
144	45103.78799
145	45016.7013
146	44878.71399
147	44793.03555
148	44693.40872
149	44685.33394
150	44674.22999
151	44590.91468
152	44588.72067
153	44530.98043
154	44346.07829
155	44300.75205
156	44280.82095
157	44217.68434
158	44182.36108
159	44172.74582
160	44084.25954
161	44064.01393
162	43996.55694
163	43945.14826
164	43895.13818
165	43870.23365
166	43844.88646
167	43786.98935
168	43602.58878
169	43572.07934
170	43536.98311
171	43456.9467
172	43405.87288
173	43399.98907
174	43390.15804
175	43339.43984
176	43332.89621
177	43265.71215
178	43241.75034
179	43213.67133
180	43127.95807
181	43073.32827
182	43046.8475
183	42991.77519
184	42980.53192
185	42909.72224
186	42851.15918
187	42835.96471
188	42817.62184
189	42766.95773
190	42735.25552
191	42733.25692
192	42713.49541
193	42640.25658
194	42638.43007
195	42554.83338
196	42553.12195
197	42532.33378
198	42478.54172
199	42465.08572
200	42463.2907
201	42429.18116
202	42412.80528
203	42396.08259
204	42327.20377
205	42274.67835
206	42229.27086
207	42227.72224
208	42150.38837
209	42092.55481
210	42076.65541
211	42038.56066
212	42036.96417
213	42005.97335
214	42004.37735
215	41914.42525
216	41895.61328
217	41839.91636
218	41815.51893
219	41737.16534
220	41715.06271
221	41664.4443
222	41595.37682
223	41593.77662
224	41488.26217
225	41441.43676
226	41428.9273
227	41337.48437
228	41263.06453
229	41180.49497
230	41178.14642
231	41132.2782
232	41110.8373
233	41079.40126
234	41077.98815
235	41069.85325
236	41021.37824
237	40986.95051
238	40951.43813
239	40922.07934
240	40912.57859
241	40820.48447
242	40804.5527
243	40750.64864
244	40615.99685
245	40514.1185
246	40472.14437
247	40361.72869
248	40285.39885
249	40249.28965
250	40153.24855
251	40151.69757
252	40102.19809
253	40072.28265
254	40051.97105
255	40010.96895
256	39972.92318
257	39912.9349
258	39870.62197
259	39812.11676
260	39741.81171
261	39706.14309
262	39617.23204
263	39551.50324
264	39500.64163
265	39465.00415
266	39397.39448
267	39349.22588
268	39265.69903
269	39198.01061
270	39177.30255
271	39113.26011
272	39086.60511
273	39070.79623
274	39032.75235
275	38978.91337
276	38964.80203
277	38886.78544
278	38843.59993
279	38822.34146
280	38815.18188
281	38726.34852
282	38660.50794
283	38631.37655
284	38615.5023
285	38581.59594
286	38517.24081
287	38476.66663
288	38457.91568
289	38440.58646
290	38419.96906
291	38278.91783
292	38277.29659
293	38249.71427
294	38227.73184
295	38201.00669
296	38183.3086
297	38136.84138
298	38110.27751
299	38099.01461
