iter	Passed	Remaining
0	160	47912
1	198	29530
2	222	22028
3	258	19143
4	296	17465
5	334	16413
6	371	15534
7	407	14862
8	432	13978
9	450	13063
10	462	12143
11	498	11970
12	536	11840
13	574	11729
14	611	11624
15	629	11181
16	666	11087
17	701	10993
18	737	10911
19	773	10829
20	810	10765
21	847	10704
22	865	10420
23	901	10363
24	913	10050
25	950	10012
26	986	9969
27	998	9703
28	1036	9682
29	1071	9646
30	1096	9511
31	1131	9475
32	1150	9305
33	1168	9139
34	1203	9114
35	1240	9096
36	1276	9073
37	1312	9049
38	1348	9024
39	1384	9001
40	1409	8904
41	1445	8881
42	1483	8865
43	1524	8867
44	1562	8851
45	1599	8832
46	1635	8804
47	1673	8783
48	1709	8758
49	1745	8726
50	1780	8694
51	1816	8664
52	1853	8637
53	1889	8605
54	1925	8579
55	1963	8554
56	1999	8523
57	2035	8493
58	2072	8464
59	2108	8434
60	2144	8403
61	2180	8370
62	2217	8342
63	2254	8313
64	2293	8292
65	2340	8297
66	2379	8275
67	2426	8277
68	2464	8251
69	2504	8230
70	2545	8208
71	2582	8178
72	2619	8145
73	2655	8109
74	2691	8074
75	2704	7969
76	2739	7933
77	2775	7900
78	2837	7936
79	2915	8017
80	2988	8080
81	3049	8106
82	3103	8114
83	3141	8077
84	3177	8037
85	3215	8002
86	3252	7962
87	3290	7926
88	3327	7888
89	3352	7821
90	3388	7782
91	3424	7743
92	3461	7705
93	3498	7666
94	3535	7629
95	3572	7591
96	3609	7554
97	3646	7516
98	3683	7477
99	3719	7438
100	3755	7400
101	3793	7363
102	3830	7325
103	3867	7288
104	3904	7250
105	3942	7215
106	3979	7177
107	4015	7138
108	4058	7111
109	4109	7099
110	4146	7060
111	4184	7023
112	4220	6984
113	4258	6947
114	4294	6908
115	4330	6869
116	4367	6831
117	4404	6793
118	4441	6755
119	4478	6717
120	4515	6679
121	4551	6641
122	4588	6603
123	4626	6566
124	4663	6528
125	4699	6490
126	4737	6453
127	4774	6415
128	4811	6378
129	4848	6340
130	4886	6303
131	4923	6266
132	4959	6227
133	4996	6189
134	5032	6150
135	5104	6155
136	5146	6122
137	5185	6087
138	5224	6051
139	5262	6014
140	5303	5980
141	5342	5944
142	5380	5907
143	5419	5871
144	5460	5837
145	5497	5798
146	5535	5761
147	5571	5722
148	5607	5683
149	5643	5643
150	5680	5604
151	5718	5567
152	5754	5528
153	5790	5489
154	5827	5451
155	5864	5413
156	5883	5358
157	5919	5319
158	5955	5281
159	5992	5243
160	6029	5205
161	6068	5169
162	6104	5131
163	6141	5092
164	6178	5055
165	6215	5017
166	6252	4979
167	6288	4941
168	6325	4902
169	6361	4864
170	6398	4826
171	6434	4788
172	6476	4754
173	6513	4716
174	6549	4678
175	6586	4640
176	6622	4602
177	6658	4563
178	6696	4526
179	6732	4488
180	6769	4450
181	6806	4412
182	6843	4375
183	6880	4337
184	6916	4299
185	6953	4261
186	6996	4227
187	7032	4189
188	7069	4152
189	7105	4113
190	7143	4076
191	7180	4038
192	7216	4000
193	7252	3962
194	7288	3924
195	7331	3890
196	7367	3852
197	7409	3817
198	7455	3783
199	7477	3738
200	7526	3707
201	7563	3669
202	7599	3631
203	7637	3594
204	7676	3557
205	7713	3519
206	7749	3481
207	7786	3443
208	7824	3406
209	7860	3368
210	7897	3331
211	7933	3293
212	7970	3255
213	8007	3218
214	8044	3180
215	8080	3142
216	8118	3105
217	8154	3067
218	8191	3029
219	8228	2992
220	8265	2954
221	8301	2916
222	8338	2879
223	8375	2841
224	8411	2803
225	8450	2767
226	8487	2729
227	8526	2692
228	8561	2654
229	8600	2617
230	8636	2579
231	8673	2542
232	8709	2504
233	8746	2467
234	8783	2429
235	8820	2391
236	8856	2354
237	8892	2316
238	8929	2279
239	8966	2241
240	9003	2204
241	9040	2166
242	9076	2129
243	9113	2091
244	9149	2054
245	9185	2016
246	9223	1979
247	9260	1941
248	9297	1904
249	9333	1866
250	9370	1829
251	9407	1791
252	9444	1754
253	9480	1717
254	9518	1679
255	9556	1642
256	9594	1605
257	9630	1567
258	9666	1530
259	9703	1492
260	9743	1455
261	9779	1418
262	9816	1380
263	9852	1343
264	9889	1306
265	9926	1268
266	9962	1231
267	9999	1193
268	10036	1156
269	10072	1119
270	10109	1081
271	10146	1044
272	10182	1007
273	10217	969
274	10254	932
275	10292	895
276	10330	857
277	10367	820
278	10406	783
279	10443	745
280	10479	708
281	10516	671
282	10553	633
283	10589	596
284	10626	559
285	10662	521
286	10698	484
287	10734	447
288	10772	410
289	10809	372
290	10846	335
291	10882	298
292	10924	261
293	10965	223
294	11002	186
295	11039	149
296	11075	111
297	11112	74
298	11148	37
299	11185	0
